iteration,time,US-AK,US-AL,US-AR,US-AZ,US-CA,US-CO,US-CT,US-DC,US-DE,US-FL,US-GA,US-HI,US-IA,US-ID,US-IL,US-IN,US-KS,US-KY,US-LA,US-MA,US-MD,US-ME,US-MI,US-MN,US-MO,US-MS,US-MT,US-NC,US-ND,US-NE,US-NH,US-NJ,US-NM,US-NV,US-NY,US-OH,US-OK,US-OR,US-PA,US-RI,US-SC,US-SD,US-TN,US-TX,US-UT,US-VA,US-VT,US-WA,US-WI,US-WV,US-WY
1,2012-01-01 11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.423482824642246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.8326358632635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,558.8214551945802,0.0,0.0,0.0
2,2012-01-03 11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.841011681218259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.20449436155453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,377.89539405356123,0.0,0.0,0.0
3,2012-01-04 11:00:00,0.008548795411360213,0.033843556991118566,0.012406454186127788,0.06435201130490924,0.650534370551109,0.07013277401801507,0.017237670846067785,0.014395357168922318,0.003169248509071179,0.20347911347987524,0.10942208563491579,0.0316955053426771,0.01826683336548367,18.064001073477932,0.12856181842869904,0.03232758035609016,0.010446722258979805,0.01563341176562856,0.022200801783086456,0.04348354622711459,0.03285996174120478,0.004012346819160862,0.05747932671114006,0.04490710189875613,0.039891481277111146,0.006778607947343947,0.37417098786159264,0.06096339181389038,0.004397870256025893,0.00861880933064481,0.006955915955911492,0.05656949358865105,0.016641550653153033,0.10604360530736787,0.12711962842009175,0.05723776250079052,0.02166357796033185,25.008623777165678,0.07373125060968329,0.007357409434574931,0.02762430747577994,0.00443741183801212,0.0377302626625639,0.17911664104640768,0.20450831038025924,0.04895527161785205,0.0037078825565022683,360.5993812251098,0.03325794707605144,0.008262436898597922,0.1074648465806045
4,2012-01-05 11:00:00,0.008809589269875613,0.03489299279668278,0.012823794581009337,0.06630910542136068,0.9853560375039825,0.07215241158020749,0.01782108495655806,0.01464842484406717,0.0032762526222095646,0.2097233384690483,0.11269331783586527,0.03249375407217609,0.018855260270368983,20.837225625840247,0.13259619908980444,0.03339267846652419,0.010787095697140873,0.01616033934219801,0.022944397804422072,0.044932871012943604,0.033927990494513435,0.004152420968960164,0.05941991073644952,0.046333696271010485,0.041195719429333595,0.00701451376639737,0.6894850471801218,0.06296209826630193,0.004540386289482456,0.008896308887441357,0.007190998051649315,0.05846018731525959,0.017173138418646462,0.1722980596590056,0.13136835212884787,0.05918808188620052,0.022377122536477025,28.61313604947974,0.0762155053073524,0.0076015327260597065,0.028500472419521937,0.004582089400240968,0.03896524586281752,0.18494408607327972,0.34956686141523335,0.05057443486435448,0.003832346205247065,366.98093000106655,0.034344005634782515,0.008541379341120243,0.19562208135138467
5,2012-01-06 11:00:00,0.019164968981144774,0.07767377332180142,0.028582691002355155,0.14798203589148026,1.6738079666014976,0.15899889543918716,0.03928820026715162,0.030716849250904257,0.007341896307936673,0.45574742193037754,0.24315046893841988,0.070769376901053,0.04182860351080302,23.507455781066263,0.2861339147178722,0.07381012825540188,0.024451592523446235,0.036112981226098045,0.05078929915442498,0.09750976447813246,0.07382014072959685,0.009081128882213456,0.1290654155303985,0.10004335973747606,0.08972195089302902,0.016254390874464737,1.0365165572213528,0.13681949235539903,0.011625063941832676,0.020464241289566164,0.01570626678465851,0.12686163918404111,0.037470224778012,0.27024297736356,0.2851049482696811,0.12897787215932974,0.04940911908458698,32.08136933149066,0.16610325487403932,0.01645940563432956,0.0631133270286605,0.010626693243634048,0.08509600681895294,0.4013932161212252,0.5468304634472665,0.10988627073356057,0.00838130875902968,377.19010205338657,0.07583057612722423,0.0189551836925744,0.29218793377066166
6,2012-01-07 11:00:00,0.022271139485037686,0.0921613908674641,0.034037613842177135,0.17995152247696136,2.1986819276571428,0.1890245145463804,0.04635527342805229,0.03406204164728192,0.008784812941569306,0.5292015489768631,0.28032055157512614,0.08186771052720068,0.04954356259355791,26.104822841393815,0.3304112371244688,0.08721008418340452,0.029505538229989196,0.04310434467217942,0.06011603582617817,0.11339530594541497,0.08598185037812836,0.010650670108285866,0.15028023485719802,0.11563414154690704,0.10460802876760056,0.020008641071402464,1.4294253354771214,0.1592127930002861,0.016705713437218446,0.025537037501960697,0.018379016836807323,0.14753835885218936,0.04372409487708966,0.3468549835664859,0.3316036587458506,0.15066034777181014,0.05832270107829714,35.40901523183415,0.19397127280488125,0.019099682491372765,0.07460185499101887,0.013459980125117935,0.09945943202913284,0.4664481956205243,0.7346788041189541,0.12789499193185272,0.0098166905038716,388.2534403609463,0.08948564432728048,0.022492273672129817,0.39487345237268634
7,2012-01-08 11:00:00,0.0328199986368371,0.13817980192409823,0.05114629340178342,0.2717806801753108,3.021977543525401,0.2821162016590747,0.06907851718209583,0.04853354232270706,0.013243339533075488,0.7791904077094858,0.4103853523907743,0.12054674806129904,0.07412249244935983,28.687342359467518,0.48391315313347055,0.13016325393938374,0.04489925749012323,0.064900671999573,0.08988540503539656,0.1669330959254865,0.1268195887324817,0.015787776732656113,0.2214663300650915,0.16953822696070817,0.1544380209469194,0.030937791954851468,1.8779227395652491,0.2346317096549776,0.027440930230281345,0.03938731886366042,0.02719687609598935,0.21719572795478628,0.06463101513507565,0.4512181096309491,0.4882078023191199,0.22263694044730611,0.0869851955988968,38.69948876125751,0.28653147513780897,0.02806937859383064,0.11144753298362835,0.020870989452453217,0.1471637644297627,0.686567635745217,0.974614221608533,0.18846259230391313,0.014535824283599568,399.84433240223694,0.13343060744576077,0.03367298089712149,0.5117097878535505
8,2012-01-09 11:00:00,0.03797547608862159,0.1637101313500879,0.0608652332279796,0.3283398477136064,3.7446063057864505,0.3338678169069153,0.08129091785487556,0.05316236157271925,0.01582325854198319,0.9005670196800987,0.4704027504277641,0.138947141437477,0.0876239937871483,31.258444354043405,0.555358976104596,0.153422529147596,0.05435244573236993,0.07744668649167445,0.10625956496611771,0.19315275952508154,0.14707981295622383,0.0184599456377166,0.25670877263100644,0.19498835676227003,0.17937003028007992,0.03824657669818207,2.374938380163179,0.2718347583438357,0.0372686253351411,0.04886734243372284,0.03170143535366174,0.2513197265161373,0.0752002115424003,0.5410220324191068,0.56498473176835,0.2591013256679626,0.10243348243446677,41.93882677922241,0.33316310478828004,0.03240084141318841,0.1314425754992839,0.02611887190742333,0.17145482531895861,0.7939237402673235,1.2129527279190524,0.21834255747317316,0.016953776280420635,411.8332031919431,0.15704077365409963,0.03986553032885127,0.6360377210082504
9,2012-01-10 11:00:00,0.04895863261066517,0.2143007686595822,0.079924240277438,0.43386855159612425,4.71866621767372,0.4361823715926429,0.10591126141434508,0.06625632745596276,0.020813969472919223,1.159973649505534,0.6027271611934727,0.17887775028777725,0.11451695124071058,33.83808695730293,0.711773656487592,0.20010319001196247,0.07229681768436799,0.10189482635945336,0.13895139689474734,0.2488567959387588,0.18984881953943253,0.023958043107150998,0.33120623850301795,0.2504473874622062,0.23179886292325416,0.05156739553568449,2.9257998852130638,0.35066087677521784,0.05215056950082549,0.06568328415407569,0.041044861299487694,0.3237984202861469,0.097348933152665,0.6532619502548378,0.7279962541247389,0.3352351994435986,0.1335357927295639,45.17499441367692,0.43062982603504546,0.04168445850801223,0.17152263746925592,0.035176645922714446,0.22206212760356156,1.0226638509612644,1.495594958812863,0.2816094761873826,0.02195228298940458,424.2860923471601,0.2046142440681916,0.052130650813203006,0.7731292967216182
10,2012-01-11 11:00:00,0.05605954099731216,0.25055244514060165,0.09391051732151763,0.5166568046333384,5.643522400212435,0.5102288637238178,0.12313476979387858,0.0719811492545788,0.024507579606320017,1.3265689321732337,0.6841500076787377,0.20412619908742607,0.13364353471686377,36.421288514817476,0.8085017297698405,0.23292241889625814,0.08641921540712358,0.12004005421268563,0.16236196790381005,0.28490798444790044,0.21787401702805193,0.027721349189243856,0.37999843542044726,0.28545153204439855,0.2664739597883938,0.06274020781281806,3.525506813172259,0.4021133891181336,0.06716655801817203,0.07992115412980708,0.04731545131234938,0.37071349512326773,0.1121748807165238,0.7559933915071373,0.8335964307595622,0.38616242177148935,0.15534234914127254,48.3870630486542,0.4952545851178775,0.04762699985349505,0.19972685373426882,0.04295790405960418,0.25606987173682444,1.17022955657366,1.7820173102435946,0.3228728037484544,0.025305036494918953,437.1545498010701,0.23782362181449496,0.06090401046054814,0.9179419369247622
