iteration,time,US-AK,US-AL,US-AR,US-AZ,US-CA,US-CO,US-CT,US-DC,US-DE,US-FL,US-GA,US-HI,US-IA,US-ID,US-IL,US-IN,US-KS,US-KY,US-LA,US-MA,US-MD,US-ME,US-MI,US-MN,US-MO,US-MS,US-MT,US-NC,US-ND,US-NE,US-NH,US-NJ,US-NM,US-NV,US-NY,US-OH,US-OK,US-OR,US-PA,US-RI,US-SC,US-SD,US-TN,US-TX,US-UT,US-VA,US-VT,US-WA,US-WI,US-WV,US-WY
1,2012-01-01 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,34.70667593408006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.21203155292705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.75959494471552,0.0,0.0,461.34960336975576,0.0,0.0,0.0,102.06281424480935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.06068228428492,0.0,0.0,0.0,0.0
2,2012-01-03 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,22.803080406529062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.62283487401084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.03631066375078,0.0,0.0,303.11303851711506,0.0,0.0,0.0,67.05773093783883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2670634387877024,0.0,0.0,0.0,0.0
3,2012-01-04 12:00:00,0.006862869117676126,0.02716919631243475,0.00995975066926866,0.05166101304043433,0.21424916808796154,0.05630173923180486,24.266223883581333,0.011556418091453555,0.39897968759368946,0.16335056066367562,0.08784272136751405,0.025444766854478086,0.014664391860546988,0.007239575672252125,0.1032078661718979,0.025952188699278882,0.008386501685003907,0.01255031300041962,0.017822533916343475,15.22522930184416,2.732575968866425,0.003221063273196589,0.046143705138260445,0.036050875895619436,0.032024396525263496,0.005441784090501323,0.003453818565159663,0.04894067032071932,0.0035305568045190237,0.0069190754098840835,0.45875222611952876,37.368212148540316,0.013359634673662166,0.023300178131195167,277.0366002350427,2.146750231452036,0.017391257159041933,0.02127364869385416,71.75249904819597,0.5540189399624617,0.022176458379353895,0.0035623003050486352,0.03028939646510885,0.14379266345347014,0.028474250231861488,0.03930069728952439,7.032489615651646,0.04054765578018819,0.026699075805628872,0.5350194359243452,0.0033364426282100354
4,2012-01-05 12:00:00,0.006665467141893465,0.026401344592879093,0.009704469194871107,0.05017018217553586,0.2084747545997706,0.05458606065725155,26.65761451904695,0.011074626190558913,0.7209463419590827,0.15868151633828215,0.08526236514144554,0.024577473413555703,0.014267611124309375,0.007041222085557067,0.10032945943261545,0.025269042881024363,0.008162678975650303,0.012229463404573366,0.017363137100191658,17.97603286875891,4.930161021751748,0.0031425997576242475,0.044966632015383666,0.03505938318636953,0.031173328115521114,0.005308630306659154,0.0033674001319854274,0.04764448038947255,0.0034357098380447017,0.006731753118335394,0.826702389166855,43.35054741238995,0.012994557565145125,0.022506586240014993,271.8236984746212,3.852111079693537,0.01693329730982164,0.020699749617018755,79.06692379817989,0.9992751230679461,0.021565427932311386,0.0034673071381367813,0.029485564927867053,0.13994823439881376,0.027605034796591144,0.038271178522255034,7.225122421250455,0.03946798921450513,0.025988488592973865,0.9640681173848263,0.0032409217095097573
5,2012-01-06 12:00:00,0.015074862095110763,0.061125083238459284,0.022492688464959828,0.11243156083217264,0.47188529027484255,0.12270810755654178,28.857182643997298,0.05168603193684929,1.0399941589325223,0.35847460196254016,0.19122764878234458,0.05567216573205178,0.03291395216560642,0.016103634678360998,0.22502755997475551,0.09619004957649092,0.019248575176894947,0.048034569307179156,0.03996234763270337,20.653185489091737,7.082018378988022,0.015405821040967592,0.1288653810797234,0.07867870087394903,0.07057304461929925,0.012800735764709309,0.007688757026841516,0.10761363737345092,0.00785493187617669,0.015571962758538735,1.1909820020190875,48.94286213163088,0.02947460064444547,0.04937743198624255,270.83115200274494,5.60558676980545,0.03887474044761683,0.04689679626249744,85.89504183677958,1.4380455857803396,0.04966100640375136,0.007981913652312177,0.06693811243253328,0.3157039166246961,0.06221549015362038,0.12312819112943817,7.430906273307553,0.08914346004195446,0.05966319240331457,1.3769941096234357,0.007483420324256649
6,2012-01-07 12:00:00,0.01703954597748192,0.07054827127076364,0.02605822351829183,0.12605466837011745,0.5349229502551273,0.13769606718200716,30.837073530705737,0.10773167151042418,1.373888236235302,0.4048829066141878,0.21442952316804859,0.06262622509587039,0.037923785999846776,0.018411420015204034,0.2527596563080545,0.17987324512231614,0.022595465546011804,0.09122789237893471,0.046016367190391046,23.28615206743623,9.291003214853516,0.03267314481832304,0.19616763839033163,0.08846083390208884,0.08004336303061492,0.015330094293287437,0.008800358772432276,0.12181990578057951,0.008982966054364702,0.017981588313336065,1.5661293489050865,54.24771258011721,0.03345698231174971,0.05401172884927853,271.01164015274213,7.429777134136652,0.044640476570189325,0.053203199877798105,92.13954101274716,1.8898033163658188,0.057101915330197546,0.009184137127208027,0.07610836693207902,0.3568848159770165,0.06997524411139087,0.20683037778634397,7.601008306503095,0.10089146492586303,0.06849212964775256,1.790824469232163,0.008613096626447365
7,2012-01-08 12:00:00,0.025447585848205594,0.10711812142826083,0.03964737201351607,0.1869358047976214,0.7998577802855793,0.2045713536965715,32.683619696832736,0.1968659065726239,1.7288838415654242,0.6041612305574767,0.318227491966455,0.09347817134244439,0.05745298563878497,0.027734682894685763,0.37656074025235803,0.3233255768071687,0.034774277348787117,0.16517506711582272,0.0696810511438616,25.978877661422377,11.62076748081837,0.06086874193090132,0.3333580831897045,0.1314275827261742,0.11973910722113076,0.02397714155226026,0.01326138223035206,0.18306026342560788,0.01352494772135206,0.027327855391808382,1.9661516292379801,59.45398360070882,0.05007539295737913,0.07879526803475408,272.00328624561894,9.419994662909312,0.06743195696801138,0.07960780062693514,98.08064139791479,2.3683523470357883,0.08639719211605916,0.013899567415797606,0.11486428805965392,0.532329931903375,0.10414575657732734,0.36033641388546434,7.748038165870453,0.15062895816431748,0.1038363052897321,2.223289341469119,0.013050093383328285
8,2012-01-09 12:00:00,0.028938092540050316,0.12476094254476834,0.046387930798052826,0.21036922602655272,0.9122138246567899,0.23060586967139415,34.41137866699571,0.29851902629422483,2.0978738684582843,0.6862463598731819,0.3584437628879679,0.10587277235729015,0.0667466891176747,0.031962680238218834,0.42867991968688096,0.4824441258007371,0.041313965620486406,0.24871622172170835,0.08098308065618176,28.6839381042522,14.012709523730022,0.09500741188127668,0.46630979702369124,0.14845074486090024,0.13668510754657112,0.029157141136563005,0.01531588088200817,0.2118545017340345,0.015577364803002742,0.03190557939478106,2.3806986033789035,64.52123558813011,0.05716485864906379,0.08630932437184381,273.49417015994084,11.489584689625527,0.07805648070296486,0.09088024231631804,103.7228155117516,2.8610328812980828,0.10016917633043665,0.016130603005678288,0.13382121226653093,0.6049984017918787,0.11770083017269448,0.5181833039341133,7.877034099582025,0.17143136197754233,0.12131262460295257,2.662129244051256,0.015149243384046548
9,2012-01-10 12:00:00,0.037524930938325554,0.1641109002802172,0.06119682666442091,0.27093502005073644,1.1845264589457423,0.2974423737847697,36.06522909702806,0.42758751248671295,2.481945469200146,0.8891084901894494,0.4621576218094433,0.13712571164874895,0.08763666854035725,0.04178053114302737,0.5596399369717491,0.6958967856519153,0.05503491776091177,0.36118418539756175,0.10641758583393543,31.45520319526801,16.48953357261243,0.14030725839654462,0.664391457835208,0.1916732898275255,0.17764829848915065,0.03944821422835784,0.02005959811172694,0.28063454916073277,0.020341766006428886,0.042082178108855534,2.816561833323373,69.52953663851955,0.07424038985257182,0.10963949531361551,275.5736353530207,13.695126137336441,0.10226216862205066,0.11808602532573179,109.21733985124116,3.373354468038979,0.13140231758263152,0.021169205338725513,0.17814927659842134,0.7838464524650673,0.1520251041899828,0.737601867620069,7.999990732366069,0.22229615500332262,0.16089279238235982,3.1155724299768144,0.01988436272147854
10,2012-01-11 12:00:00,0.04244566476264377,0.18961062000862508,0.07105504432468211,0.30331604873127255,1.3433981944366882,0.33356437750214657,37.6455984152035,0.568438728929612,2.8755444022689463,1.0044484283956885,0.5182403721477975,0.15456374064271747,0.1010442090515564,0.04784345752028883,0.6403352341134532,0.9302345271598552,0.06476296866673965,0.486572300076062,0.12286004974932611,34.250231314049465,19.005140878606653,0.19315546916596538,0.8711362794462912,0.21553542857691263,0.20182653725679747,0.047477138258946665,0.023055464303090672,0.3282477166828866,0.023262110600669194,0.04882777148510078,3.265564994679823,74.43094175515378,0.08420066771534969,0.11997228093761154,278.07558980278685,15.969952026291068,0.11751834092136394,0.13405223270733857,114.53642085098434,3.8954615546052858,0.15132354931291195,0.024386245371315823,0.20986762769167952,0.8860767058806965,0.17084067370298361,0.9686848240560555,8.118598918041434,0.2516106229063692,0.18845712002625398,3.573743935335054,0.022896203664744832
