iteration,time,US-AK,US-AL,US-AR,US-AZ,US-CA,US-CO,US-CT,US-DC,US-DE,US-FL,US-GA,US-HI,US-IA,US-ID,US-IL,US-IN,US-KS,US-KY,US-LA,US-MA,US-MD,US-ME,US-MI,US-MN,US-MO,US-MS,US-MT,US-NC,US-ND,US-NE,US-NH,US-NJ,US-NM,US-NV,US-NY,US-OH,US-OK,US-OR,US-PA,US-RI,US-SC,US-SD,US-TN,US-TX,US-UT,US-VA,US-VT,US-WA,US-WI,US-WV,US-WY
1,2012-01-01 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,8.676668983520015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.803007888231763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.18989873617888,0.0,0.0,115.33740084243894,0.0,0.0,0.0,25.515703561202336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.76517057107123,0.0,0.0,0.0,0.0
2,2012-01-03 12:00:00,1.0132484514381357E-5,2.514099783469175E-5,1.1062810086164283E-5,8.213153615742646E-5,3.0781881275282485E-4,8.761344090328203E-5,4.307855213721017,2.5678438091767833E-5,7.50583019989793E-5,2.4219644440421785E-4,1.447917451645105E-4,3.75671901874316E-5,1.3881631811496175E-5,9.118908353048606E-6,1.6538258573424612E-4,2.850396832625782E-5,7.634726668210356E-6,1.380096820205901E-5,2.170189219680893E-5,2.384993750790359,5.387193630129372E-4,4.609647955665128E-6,7.072009016257206E-5,5.958833247349078E-5,4.801645634552346E-5,6.412213103525113E-6,5.192962494941455E-6,7.523566099921433E-5,3.8672783756278964E-6,9.493271728088064E-6,9.152063261028563E-5,6.052751751100556,1.5906292465569605E-5,6.349399411841645E-5,57.254631742275436,4.571227612419418E-4,1.9427886531489474E-5,3.015271014125867E-5,12.668293823350924,1.1049440079675682E-4,2.236057925962247E-5,3.8488652006250185E-6,4.417185532289658E-5,2.179497179212867E-4,4.0802331216342845E-5,5.882099650901968E-5,1.372737558007067,6.03538720475625E-5,2.998153465849908E-5,1.0309398978627743E-4,3.372469332065777E-6
3,2012-01-04 12:00:00,0.0017080734989687303,0.006762048422529913,0.0024788676485314053,0.012857710258206598,0.05332395046545453,0.014012655576780043,2.7286537151224874,0.0028761228470651854,0.025373303404462352,0.04065572409263669,0.0218628025651862,0.006332751683112972,0.003649783414619377,0.001801837862659021,0.025687081488493527,0.006459188696902294,0.002087297485378475,0.0031236294984993713,0.004435822263467851,1.6273995175433518,0.17544927398190302,8.016887095438321E-4,0.011484642858904447,0.008972599508778847,0.007970482475440537,0.001354402283091354,8.596173623765857E-4,0.012180740385416545,8.787118594784663E-4,0.001722071104376754,0.029670368330973466,4.042804707027575,0.0033250430399136724,0.005799001989419979,33.415054514699484,0.14253958497809244,0.004328475328146188,0.0052947459013449215,8.052134620945745,0.03567575075995855,0.0055194345431890625,8.866129451846127E-4,0.0075386629126560824,0.03578822659078845,0.0070868112333383046,0.009781476179774429,0.8255888522223829,0.010091816413248241,0.006645074201362772,0.03462552114057114,8.303948981291796E-4
4,2012-01-05 12:00:00,8.469856362024211E-4,0.003356766284005665,0.0012370697945149737,0.006374374687056896,0.02653858363638791,0.0069243835831106935,1.9325680900521973,0.001390097370470648,0.037262638166305775,0.020167309805024968,0.010827489709821543,0.003106533785916849,0.0018161747576712884,8.959749191585425E-4,0.012759624509131434,0.0032206304069563813,0.001039511280170994,0.0015599616721662143,0.0022129859695343887,1.2372866101758455,0.25547614499456783,4.0145520002444975E-4,0.005733537895576919,0.004460467977170905,0.003969799719081939,6.775764576403228E-4,4.294922547461094E-4,0.006067831518481233,4.374137105161498E-4,8.569031539911601E-4,0.04292595068984629,3.020149979612062,0.0016535910765061957,0.002844557384464504,21.438624887935728,0.20150093702457017,0.0021570032026211293,0.0026349956531833865,5.718948990438068,0.05182552060933361,0.0027437814451729426,4.4153283426134595E-4,0.003755041769726924,0.017818832851930505,0.003501613570934645,0.004877157667380893,0.5504464704814851,0.005025798893221378,0.0033095565267801416,0.05006725777007191,4.119093202162782E-4
5,2012-01-06 12:00:00,0.001376644172264889,0.005542175738013253,0.002040807819464541,0.010296894337511067,0.04311304746341106,0.011219682148723943,1.4239422159710633,0.0026506278608081687,0.039838977513251654,0.032750178354713964,0.017505157031173786,0.005070813445080901,0.0029890604949735777,0.0014662342656093909,0.020611271765956066,0.0058781642294247006,0.001736425725820323,0.0028834702620025407,0.0036336271786922467,0.9684324229768292,0.2731252506114324,7.81727666947182E-4,0.009715630270788993,0.007206352534467553,0.006448369496609875,0.001147883179683282,7.010747013726085E-4,0.00984037498203864,7.15409855658429E-4,0.0014129501553721926,0.04601201621827193,2.324434810419907,0.0026907047932204498,0.004543708578879303,14.49044187776412,0.21798461201689256,0.0035367570228591293,0.004283378101943686,4.226604383085847,0.055482493149997245,0.004511570822317935,7.254626736184374E-4,0.006110954142642739,0.028877028207224698,0.005683891287320646,0.008478786772268116,0.38499618985010764,0.008151019452778406,0.005427457979485325,0.05350059757915226,6.789873472499332E-4
6,2012-01-07 12:00:00,8.576356338502706E-4,0.0035331799868857615,0.0013089018227135216,0.006358663537878773,0.026981241533221317,0.006925955966671764,1.0554590762508926,0.00237016301725062,0.03715785448577788,0.020389127991757832,0.010807209909282139,0.0031295150737312774,0.0019037374747082607,9.258006400828767E-4,0.012763123587493772,0.0048383876046937165,0.001129007931039949,0.002419335326699194,0.002314878551757055,0.7517238119631582,0.253258223468846,7.331733914951202E-4,0.006877410472969474,0.004468428261684378,0.0040389868019102305,7.641688071362184E-4,4.4398122160400335E-4,0.006151309985633243,4.5202034515553E-4,9.020460411877305E-4,0.042656157761177364,1.7814905306723072,0.001685830504377979,0.0027216891435316677,10.024994342232334,0.201856512881295,0.0022454907102120243,0.002682862155472655,3.1400769398565767,0.05146752418699373,0.002865932558570828,4.614875114807486E-4,0.003837956157630038,0.0180208037186774,0.003517310632518027,0.006370610477016444,0.27354671570142947,0.00509359702026322,0.0034440978725496195,0.049305108462448385,4.314249024187162E-4
7,2012-01-08 12:00:00,0.0010402435956243005,0.004307027187943821,0.0015944041930678163,0.007696452464559198,0.03270684551629128,0.008395518807586443,0.7818458329959832,0.0032246735726137845,0.032790931492362105,0.02472148321144934,0.013088194876210534,0.003806880525546682,0.002317504730699944,0.0011252235733531294,0.015449818826679423,0.006372643669300141,0.0013812931484461243,0.003200212108847289,0.0028156689164666802,0.5817355809816186,0.22287096005383825,9.976100325654646E-4,0.008691113755161427,0.005407523123822242,0.004895676723755788,9.390138091247432E-4,5.389627576714363E-4,0.007456000028691133,5.491078896086026E-4,0.0010992822649970987,0.03765729539250188,1.359126218116719,0.002044506782212182,0.003290466551018652,7.0223111810448815,0.18005818681035682,0.0027298429277004916,0.0032529602288149913,2.332954952709101,0.04536922986518667,0.0034883599229565206,5.614916129029698E-4,0.004658122177640051,0.021824659111358127,0.0042662051070389995,0.008194640050880001,0.1955012375724428,0.006170137292382187,0.004188917712316121,0.043233694810481234,5.256314255614424E-4
8,2012-01-09 12:00:00,6.907768595145596E-4,0.0029381120747995195,0.0010948461561484035,0.005055434998791244,0.021825506643392795,0.005515710809146393,0.5760949853210177,0.0030085213607288466,0.02772203334894017,0.016400599744588847,0.00859880808186343,0.0025043983649469903,0.001578364357704877,7.590942991540254E-4,0.010194388901096274,0.005617728343151528,9.637976932418429E-4,0.0028607628124744013,0.0019188607184216942,0.44490379019451987,0.18727813675538393,9.589780312041635E-4,0.006766241147332913,0.00356929086763303,0.0032704036048658413,6.726994542091004E-4,3.648328505383902E-4,0.00498078019343862,3.704884818272707E-4,7.51702588468183E-4,0.03168652865446345,1.0269423728638132,0.001365728173022839,0.0020889897391239603,4.941141015143489,0.15190937996526233,0.0018523498740038666,0.0021729778110799224,1.7233906508695267,0.03815821952707762,0.002369250462078338,3.819469451048182E-4,0.0031305454900073214,0.014511681322892794,0.0028110832982096235,0.006732312693709958,0.13963231485605562,0.004109189480687442,0.002844960082565496,0.03609582037460656,3.5715919613638243E-4
9,2012-01-10 12:00:00,7.248115179577312E-4,0.0030840644768641585,0.0011486852703796037,0.005302558626582056,0.022884923569497315,0.0057901163852703144,0.42339413534348846,0.003237741324071669,0.0229750371933138,0.01720567563443689,0.009023990362515527,0.0026342622142485556,0.0016556063466697055,7.964493544365025E-4,0.010707186833500935,0.00602220911955407,0.0010125396877096746,0.0030736966217678632,0.002012976982014745,0.33961300313123993,0.15467408813560868,0.0010394133128761578,0.007213506519339563,0.0037428296661742378,0.003429230635116475,7.078434085872414E-4,3.8266601990516897E-4,0.005237060532862738,3.8847540787219847E-4,7.8949105475813E-4,0.02626808481113478,0.7731005145643225,0.0014317539809717288,0.002200261941178842,3.491096070850943,0.1271159003884653,0.0019424915991969466,0.0022786121766640954,1.270695794502598,0.03156758628440967,0.0024857826043190577,4.0066314321751537E-4,0.0032935338372283495,0.015212181421269108,0.0029508854865222403,0.0071837270300415396,0.0997710074338067,0.004307464660490836,0.0029887832378800968,0.02969883947330383,3.7485139867460027E-4
10,2012-01-11 12:00:00,4.92544938542984E-4,0.002154785279329167,8.082840836387005E-4,0.0035604530317062655,0.015629887191567406,0.003889601639048787,0.3097401727076593,0.0028533656541522585,0.01860970359660268,0.011678742421862912,0.00606351982239454,0.001773514578778028,0.0011545569399691905,5.503084158919604E-4,0.007246643030303661,0.005167047007437458,7.242078121992601E-4,0.002665785438141931,0.0014057903775638173,0.25688843503358966,0.1245814532859738,9.432309359726131E-4,0.005706083985065931,0.002527181337202591,0.0023452942685709623,5.200883020389115E-4,2.655361001052212E-4,0.0035995678866740646,2.682989424185895E-4,5.536751958401616E-4,0.021210767584275647,0.5777584989742117,9.784249412905725E-4,0.001427325021882393,2.4683537548544594,0.10295944865503738,0.0013497403780554239,0.0015580134360136256,0.9322218887331978,0.025452128195460756,0.0017289681747098336,2.7915021028815184E-4,0.002279412731500254,0.010349206434766169,0.001988307559688512,0.005881829263852773,0.07114350407995386,0.002935357778096854,0.002084838842946626,0.023789969539074265,2.6079540103901024E-4
