32,5,5,8,8,2,5,8,8,2,2,2,2,2,2,14,2,2,4,2
5,11,8,5,5,2,2,2,5,5,2,2,2,2,2,5,2,2,4,2
5,8,11,5,5,2,5,5,5,2,2,2,2,2,2,8,2,2,6,2
8,5,5,14,5,2,2,2,8,5,2,2,2,2,2,5,2,2,4,2
8,5,5,5,17,2,5,2,5,2,2,2,2,2,2,11,2,2,4,2
2,2,2,2,2,14,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5,2,5,2,5,2,17,5,2,2,2,2,2,2,2,8,2,2,4,2
8,2,5,2,2,2,5,20,2,2,2,2,2,2,2,8,2,2,4,2
8,5,5,8,5,2,2,2,20,8,2,2,2,2,2,5,2,2,4,2
2,5,2,5,2,2,2,2,8,20,2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2,5,4,4,4,4,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2,4,6,4,5,5,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2,4,4,7,5,4,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2,4,5,5,6,5,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2,4,5,4,5,5,2,2,2,2,2
14,5,8,5,11,2,8,8,5,2,2,2,2,2,2,20,2,2,6,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,4,5,5
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,7,5,4
4,4,6,4,4,2,4,4,4,2,2,2,2,2,2,6,5,5,14,5
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,4,5,5
